City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,copainala,17.0833,-93.2,20.43,99,95,1.09,MX,2023-11-30 03:29:49
1,port-aux-francais,-49.35,70.2167,2.2,97,100,21.56,TF,2023-11-30 03:29:50
2,waitangi,-43.9535,-176.5597,12.68,74,21,4.02,NZ,2023-11-30 03:29:50
3,yellowknife,62.456,-114.3525,-17.55,95,40,2.57,CA,2023-11-30 03:26:25
4,blackmans bay,-43.0167,147.3167,16.96,61,100,4.63,AU,2023-11-30 03:29:50
5,adamstown,-25.066,-130.1015,21.57,77,100,4.75,PN,2023-11-30 03:29:50
6,badger,64.8,-147.5333,-11.07,88,40,0.0,US,2023-11-30 03:29:51
7,grytviken,-54.2811,-36.5092,3.24,89,72,0.92,GS,2023-11-30 03:29:51
8,stanley,54.868,-1.6985,0.29,93,75,2.06,GB,2023-11-30 03:29:51
9,lebu,-37.6167,-73.65,11.92,90,0,6.14,CL,2023-11-30 03:29:51
10,ribeira grande,38.5167,-28.7,14.87,69,84,8.49,PT,2023-11-30 03:29:52
11,caleta de carquin,-11.0925,-77.6267,19.35,86,50,4.46,PE,2023-11-30 03:29:52
12,howrah,22.5892,88.3103,24.0,83,2,2.06,IN,2023-11-30 03:29:52
13,invercargill,-46.4,168.35,12.79,69,73,5.81,NZ,2023-11-30 03:29:52
14,kodiak,57.79,-152.4072,1.73,87,100,10.8,US,2023-11-30 03:26:05
15,puerto ayora,-0.7393,-90.3518,24.75,90,37,2.24,EC,2023-11-30 03:29:53
16,oodweyne,9.4092,45.064,18.22,62,24,4.2,SO,2023-11-30 03:29:53
17,santa elena de uairen,4.6167,-61.1333,20.28,70,91,2.09,VE,2023-11-30 03:29:53
18,vadso,70.0744,29.7487,0.49,93,75,8.75,NO,2023-11-30 03:29:53
19,vorgashor,67.5833,63.95,-15.67,95,24,2.85,RU,2023-11-30 03:29:53
20,isafjordur,66.0755,-23.124,1.79,83,97,3.8,IS,2023-11-30 03:29:54
21,papatowai,-46.5619,169.4708,10.67,68,100,4.92,NZ,2023-11-30 03:29:54
22,tazovsky,67.4667,78.7,-19.44,95,27,3.55,RU,2023-11-30 03:29:54
23,san patricio,28.017,-97.5169,20.91,87,100,5.41,US,2023-11-30 03:29:55
24,verdal,63.7933,11.4817,-9.98,76,93,3.11,NO,2023-11-30 03:29:55
25,al bawiti,28.3492,28.8659,13.23,58,78,2.26,EG,2023-11-30 03:29:55
26,kaspiyskiy,45.3929,47.3707,8.04,87,100,6.5,RU,2023-11-30 03:29:55
27,west island,-12.1568,96.8225,27.99,65,40,6.69,CC,2023-11-30 03:29:56
28,monsefu,-6.8781,-79.8722,20.11,83,0,6.17,PE,2023-11-30 03:29:56
29,iqaluit,63.7506,-68.5145,-0.15,80,100,7.2,CA,2023-11-30 03:29:56
